text
@tofu_niconico 何を言っているのかわからないままふぁぼってるところがあるので…
よく服がダサいと言われますがフォロワーが12万人います
@akajamtan 復活は課金制です。復活した後は主人公の最大HPが当初の1/6ほどに落ち込みます
@pink_florid 課金すると主人公が「やったぜ！」と言い、画面上に大きな「やったぜ！」という3Dの書体が現れる代わりに敵の攻撃が激しくなります
こんにちは。楽しいスマホのゲームを考えたので紹介させて頂きます。主人公が敵に苦しめられています。画面をタップすると敵の攻撃が激しくなり主人公は更に苦しみます。タップするのをやめると敵の攻撃が緩くなり主人公は少ししか苦しまなくなります。HPがなくなると主人公は死んでしまいます。
@Maikan_s ジョイフルってサービス業だからむしろ連休こそ繁忙になる気がするんですけどその口ぶりですとまさかエリアマネージャー…？
@sz__x7 ひ、酷すぎる…
@MashRoom0302 いつでも良いですよ！旅費を入れたら大幅なマイナスになりますけど！
@2052Moe 良いですね！じゃれ合ってたら「あっ///」みたいになる展開になりましたか？私は休みです
@anpan1004 いいよいいよ。ミスは誰でもするんだし次から気を付けてくれれば。虫けら！！！！！！！
@Aiko11263104 20時30分前後
気持ちの浮き沈みが激しい上司「いいよいいよ。ミスは誰でもするんだし次から気を付けてくれれば。虫けら！！！！！！！！！！」
@warotakun1sai イカれたカエルのTシャツ下さい
@bluedragonE3 もちろんさ、それを受けとるためだけにツイッターをやっていると言っても過言ではないからね
@bluedragonE3 まともなものには返しています。（大半がまともじゃない）
@fujiimoutoo ok
@k0mm_ 誠に申し訳ありません！俺が何をしたって言うんだ！
@amari_sinanai ちょっとやめてくださいよ…確かに事実ですが僕がそういう要求をしていることが公になったらここには入られなくなるんですから…
@warotakun1sai 僕でもこうなるということはあなたはドラッグをやっているのでもっとグニャグニャになるはずです
フォロー外からのDMを受け取れるように設定していると、こういったメッセージが毎日のように来て最高です！！！！ https://pic.twitter.com/1CB1j6Lf5j
@MashRoom0302 上司は本当に殴りますw
@MashRoom0302 クライアントをいきなり殴り付けたらみんなどんな反応するんだろう、みたいな妄想をして乗りきります
@m_y_f_ 俺のシビックが！
@Tkt_Ktk 会いてえなー。
@Tkt_Ktk おま･･･、可愛すぎだから。
@OyamamochiO わかる
ずっと一緒にいろ。お前に拒否権ねえかんな。
@ag_gt ブロンコビリー？
@harimarimon あれを超える無味ってないですよね（？）
@mik_33 【冬のツィート】「僕昔からシチューが苦手で食べられないんですよね～w」「だからと言って…服の襟口から…」
@0220kajo なんですか！？何か不服があるのですか！？ならば申し立てをしてください！
@sugar_sugar714 都の床屋でスキンヘッドにしたからただの厳ついおっさんになったよ
@_ku_ne_TSF 行かないょ～;
【冬のツィート】「僕昔からみかんの白いすじが苦手で食べられないんですよね～w」（パクッ）「今…皮ごと…」
@sugar_sugar714 オープンワールドって初めてやったけどめちゃめちゃ楽しい…
@Maikan_s 別アングルで撮ることで俄然信憑性が出てきたな！？？何だよこれ！！
@sugar_sugar714 旧ドラゴンズドグマを始めました
@mik_33 本当にお久しぶりです。そしてなにより、出所おめでとうございます
@zairyoutyuu 荻上＼ ( ‘ᾥ’ )/  　＼ 　＼  　　＼ ニニニニニニニニニニニニニニニニニつ  　 ／　　＼
@zairyoutyuu 材料厨＼ ( ‘ᾥ’ )/  　＼ 　＼  　　＼ っ  　 ／　　＼
＼ ( ‘ᾥ’ )/  　＼ 　＼  　　＼ ニニニニニニニニニニニつ  　 ／　　＼  お客様お客様お客様！！困ります！！あーっ！！！お客様！！困ります！！あーっ！！！困ります！！あーっ！！！！困ります！お客様！！困ります！！あーっ！！！あーっおお客様！！困ります！！
@k_meu_pettan わりっ！wけどどうしようもねぇ！w
@Maikan_s ガストで好きなメニューはなんですか？
@HALbit5 20万とんで800ほど…いよいよ廃神の徒名が板についてきましたね…
@ahaaaanxX いつもいて引く
@Tkt_Ktk https://pic.twitter.com/5ZBrN8LFjE
@Tkt_Ktk ツイッターをやめろ
@HALbit5 20万ツィイトォオ！？！？！？！？！？！？
@am_are_is 2回くらいしか浮上しませんので
ツイッター廃人に「いつもTLにいるよねっ！あ、別に嫌味じゃなくてむしろ逆っていうかその…安心…するんだ。帰ってきたぁって。そりゃあたまには仕事しろとか親泣くぞとかバカとか変態とか思うこともあるけどつまり何が言いたいのかとゆーと！あの…あのね？…明日も、ここにいて下さい」って送ろう
@cf_ava_kenya 俺今スマブラやってんだ
@_ku_ne_TSF 何だよお前！気持ちの抑揚が常軌を逸してるぞ！
@_ku_ne_TSF 思わずググったけどBD出るの早いね！？
@ryo_n87039 M4ですか！是非、担いだまま住宅街を闊歩するキャスをしてください！見に行きます！
@_ku_ne_TSF 一回も見てない
@2jinooyatsu オッスオッス
@soraruru 家が…燃えてる…←家が燃えてる
ぺニス
@k_meu_pettan あっ、亀リプすみません！よくよく考えれば海軍があるので税とまではいかなくても年貢みたいな制度はあるのかも知れません（海賊は反逆者なのでガン無視してる）
@kurichannu （そういうことかぁ…）通常版とディレクターズカット版があるのでそこが違ったのでしょうね、機会があればRECなども観てください
@7cha7 土を食え
@_i8i @4rone4 土を食ってろハゲども
@arupaka3955 違います！今回は本当にそういうやましい表現はしていません！
@kurichannu そうですか！DVD持ってるくらい好きなんですよね～、ラストはキモいクリーチャーに殴られて死ぬところまでしか記憶にないのですが…
いっけなーい遅刻遅刻〜！ 三👨　　　👩三  あぶなーい！ 　三👨　👩三  うわーっ！ 　三👨👩三  　　↓ 　＿人人人人＿   >　　   🍣　    < 　 ￣ Y^Y^Y^Y ￣
@ririannnnn 度を超えた暴力で国を追われた保安官じゃないっすか！w
@oCRCRo 積極的に使っていこうぜ#ちょっとどうしようふにさんよりピカチィさんの方が面白いんだけどなぜもっと早くフォローしなかったんだ
@oCRCRo @暑いですね～！皆さんちゃんと生きてますか？俺は生きてます（当たり前だろwww）#ちょっとどうしようふにさんよりピカチィさんの方が面白いんだけどなぜもっと早くフォローしなかったんだ
@96xxlov ありがとうございます、少し泣きました
@_ku_ne_TSF やっぱりな！wwwwwww
@_ku_ne_TSF 最近ゆりしゅらしゅしゅしゅに洗脳されてるんだけどお前は？
@hachuki0825 マサラタウンにさよならバイバイ俺はコイツと旅に出る「ピカテウ」 ＿人人人人人人人人＿ ＞　　ピカテウ　　＜ ￣Y^Y^Y^Y^Y^Y^Y^￣
@gure_son お互いもう30代なんだから分を弁えようぜ
@bskeee1011 https://pic.twitter.com/zRUqLVewM7
2005年くらいに運営していたエロサイトのバックアップファイルが出てきたんですけど、「管理人の一言」とかいうどうでも良いコーナーに「暑いですね～！皆さんちゃんと生きてますか？俺は生きてます（当たり前だろwww）」って書いてあったので布団に顔を埋めて叫びました
@ririannnnn お言葉ですが、ど、どこが…
@colnigusu 残業中にtelをするな
@yK_2_9 ゴムゴムの追加徴税
@riblove2000 流石に住民税と固定資産税は脱税したい
@k_meu_pettan そうなんだよね！武で物を言わせる群雄割拠のあの世界に税っていう概念が存在してたことに衝撃を受けたよ！
@real_takuchan idを_yoshi_no_yaに変えてください！よろしくお願いします！
ゴムゴムの納税：ゴムのような伸縮性を利用して税金を納める必殺技だ
@ZERO000XXX 僕にも経験ありますしねそれ…だが彼らは談笑していようとも手元には寸分の狂いもないのだ
@ZERO000XXX 歯科医「ワッハハwwwwwwwあ」（切削機器が歯肉を持っていく）
@NICONICO_BAR 思わす目を疑ってしまいました…
@amSks5x7V8kIxCX 北の冬は長く厳しいのです
@sgtoga おめ(^^
@RwsSkow 知ったような口を利きます
@picachi_ マ、人がたくさん倒れてる
@momizichocolate 氷都、札幌に
@ww0w0ww そうでした…つい見栄を張ってしまいました･
仕事の関係で北海道に来ましたが9月だと言うのにもう、雪が降ってる…
@nomu_bass うるせぇデブ！！！！！！
@desunyawa8 予定があります
@messi_dayo 遊びじゃないんだよ
今週は（広場などで、ギアをニュートラルにした車を高笑いしながら押す）予定があるのでダメです
@ririannnnn あなたからの時間差リプとても好きなのでこれからもよろしくお願いします
@RenNyu_j11 autumn！！（一本取られました）
@lmsato_ 知らない番号だったので仕事関係かと思って出たらあれさ！
@Maikan_s ジョイフルをバカにしないでください
@miidarakusomusi 露出放火魔のメンテさんが言うならそれだけで信用に足ります
裸で歩いていても「秋にしては少し厚着ですね」くらいの感覚しか覚えない国へ行きたい
@Ulalan25 私も最高ぞなもしです
@aya20904 おめでとうございます！罪を犯さない一年にしてください
@sugar_sugar714 外資w
@life_key あのすみません、チンチンッ！
@sugar_sugar714 物を造るなw
@sugar_sugar714 何の仕事してるの？
絶対に大丈夫じゃないのに頑なに大丈夫大丈夫！っていう人「大丈夫大丈夫！」
