無意識的,ムイシキテキ
３回,サンカイ
感覚的,カンカクテキ
爆睡中,バクスイチュウ
塚本さん,ツカモトサン
法律違反,ホウリツイハン
法律違反,ホウリツイハン
連鎖販売,レンサハンバイ
法律違反,ホウリツイハン
心底軽蔑,シンソコケイベツ
バスケットマン,バスケットマン
杉本先生,スギモトセンセイ
一緒にバスケ,イッショニバスケ
自分事,ジブンゴト
学内ネットワーク,ガクナイネットワーク
写真みたい,シャシンミタイ
アプリ配信,アプリハイシン
ソフト一覧,ソフトイチラン
adobe製品,アドビセイヒン
mac教室,マックキョウシツ
イラレフォトショ,イラレフォトショ
学内ＰＣ,ガクナイピーシー
mac教室,マックキョウシツ
マイＰＣ,マイピーシー
アプリケーション配信,アプリケーションハイシン
現役大学生,ゲンエキダイガクセイ
学生用,ガクセイヨウ
用オールイン,ヨウオールイン
オールインワン,オールインワン
ワンカード,ワンカード
５名,ゴメイ
名様に,メイサマニ
様に１,サマニイチ
１万,イチマン
万円,マンエン
円プレゼント,エンプレゼント
平成２,ヘイセイニ
２８,ニハチ
８年,ハチネン
年４月,ネンシガツ
４月３,シガツサン
３０,サンゼロ
０日,ゼロニチ
爆買い対策,バクガイタイサク
空港水際,クウコウミズギワ
政治リスク,セイジリスク
リスク折り込み,リスクオリコミ
折り込み済み,オリコミズミ
日本側,ニッポンガワ
過去３,カコサン
３年,サンネン
年分,ネンブン
ゼミ生,ゼミセイ
みやたい,ミヤタイ
千何,センナン
何百,ナンヒャク
百円,ヒャクエン
専門的,センモンテキ
読書代,ドクショダイ
毎月計算,マイツキケイサン
反射反応,ハンシャハンノウ
今月何,コンゲツナニ
５名,ゴメイ
名様に,メイサマニ
様に１,サマニイチ
１万,イチマン
万円,マンエン
円プレゼント,エンプレゼント
西日本シティ,ニシニホンシティ
シティ銀,シティギン
ALL IN ONE学生,オールインワンガクセイ
学生カード,ガクセイカード
在学中年,ザイガクチュウネン
中年会費,チュウネンカイヒ
会費無料,カイヒムリョウ
コンビニATM無料,コンビニエーティエムムリョウ
博多アミュ,ハカタアミュ
SUGOCA付,スゴカヅケ
nimoca付,ニモカヅケ
搭載可,トウサイカ
年２,トシニ
２回,ニカイ
ex.植松,エクスウエマツ
植松努,ウエマツツトム
努氏,ツトムシ
ふらっと九大,フラットキュウダイ
近場,コンジョウ
飲食以外,インショクイガイ
実践的,ジッセンテキ
たくさん機会,タクサンキカイ
広告作り,コウコクヅクリ
宣伝会議さん,センデンカイギサン
無料イベント,ムリョウイベント
大学生活,ダイガクセイカツ
大和屋行,ヤマトヤコウ
２記念,ニキネン
１記念,イチキネン
有朋会館,アリトモカイカン
ボール借りて,ボールカリテ
借りて通用,カリテツウヨウ
通用門,ツウヨウモン
門付近,モンフキン
その他外国語,ソノタガイコクゴ
文系センター,ブンケイセンター
センター棟,センタートウ
低層階,テイソウカイ
階１,カイイチ
１階,イチカイ
言語教育センター,ゲンゴキョウイクセンター
西村愛子,ニシムラアイコ
愛子さん,アイコサン
englishplaza,イングリッシュプラザ
専門ソフト,センモンソフト
mac教室,マックキョウシツ
文系センター,ブンケイセンター
センター３,センターサン
３階,サンカイ
総合情報処理,ソウゴウジョウホウショリ
情報処理センター,ジョウホウショリセンター
棟裏,トウウラ
就職進路,シュウショクシンロ
進路支援,シンロシエン
支援センター,シエンセンター
１号館,イチゴウカン
号館１,ゴウカンイチ
１階,イチカイ
募集はいつ,ボシュウハイツ
田村先生,タムラセンセイ
一番やる気,イチバンヤルキ
学生生活,ガクセイセイカツ
福大生,フクダイセイ
福大新入生,フクダイシンニュウセイ
新入生向け,シンニュウセイムケ
長期休み,チョウキヤスミ
海外研修,カイガイケンシュウ
夏休み分,ナツヤスミブン
４月後半,シガツコウハン
FUポータル,エフユーポータル
スルーする人,スルースルジン
人多数,ジンタスウ
商学部商学科,ショウガクブショウガッカ
特化,トクカ
履修相談,リシュウソウダン
履修登録期間,リシュウトウロクキカン
入学直後,ニュウガクチョクゴ
ダメ科目,ダメカモク
大学生向け,ダイガクセイムケ
当日券,トウジツケン
学生生活,ガクセイセイカツ
生活用,セイカツヨウ
ウイルス対策ソフト,ウイルスタイサクソフト
年度更新,ネンドコウシン
１人,イチニン
人３,ニンサン
３ライセンス,サンライセンス
福大新入生,フクダイシンニュウセイ
学生全員,ガクセイゼンイン
マイクロソフト社,マイクロソフトシャ
ネット上,ネットジョウ
excel等,エクセルトウ
福大新入生,フクダイシンニュウセイ
自動接続,ジドウセツゾク
パケ節約,パケセツヤク
福大商学部,フクダイショウガクブ
商学部新入生,ショウガクブシンニュウセイ
学部登録,ガクブトウロク
登録可能,トウロクカノウ
配布プリント,ハイフプリント
プリント等,プリントトウ
奨学金説明会,ショウガクキンセツメイカイ
採用候補者,サイヨウコウホシャ
候補者決定,コウホシャケッテイ
決定通知,ケッテイツウチ
通知交付,ツウチコウフ
明日入学,アシタニュウガク
不安混じり,フアンマジリ
プロジェクト等,プロジェクトトウ
一歩,イチホ
無意識的,ムイシキテキ
日本ペン回し,ニッポンペンマワシ
ペン回し協会,ペンマワシキョウカイ
MICE戦略,マイスセンリャク
大学受け入れ,ダイガクウケイレ
受け入れ態勢,ウケイレタイセイ
生活サポート,セイカツサポート
巨司馬,キョウシバ
司馬先生,シバセンセイ
予算等,ヨサントウ
等解決,トウカイケツ
大学全体,ダイガクゼンタイ
積極進取,セッキョクシンシュ
学内限定,ガクナイゲンテイ
本人許可,ホンニンキョカ
面白講義,オモシロコウギ
あとついで,アトツイデ
大学図書館さん,ダイガクトショカンサン
福大卒,フクダイソツ
社長さん,シャチョウサン
OGさん,オージーサン
図書館and,トショカンアンド
and就職,アンドシュウショク
就職進路,シュウショクシンロ
進路支援,シンロシエン
提案ひとつ,テイアンヒトツ
秀和システムさん,シュウワシステムサン
図解入門,ズカイニュウモン
入門業界研究,ニュウモンギョウカイケンキュウ
産学社,サンガクシャ
社さん,シャサン
会社研究,カイシャケンキュウ
研究シリーズ,ケンキュウシリーズ
毎年全部,マイトシゼンブ
定期的,テイキテキ
杉本先生,スギモトセンセイ
夢寄り,ユメヨリ
ゼミ内,ゼミナイ
中堅マンモス,チュウケンマンモス
マンモス大,マンモスダイ
流通系列,リュウツウケイレツ
複数学部,フクスウガクブ
卒論,ソツロン
大学ライフ,ダイガクライフ
来週福岡,ライシュウフクオカ
年目,ネンメ
ショートカットキーめちゃくちゃ,ショートカットキーメチャクチャ
ツール特有,ツールトクユウ
行動力,コウドウリョク
能動的,ノウドウテキ
福大エクステンション,フクダイエクステンション
エクステンション関連,エクステンションカンレン
関連貿易実務検定,カンレンボウエキジツムケンテイ
貿易実務検定講座,ボウエキジツムケンテイコウザ
ガイダンス税理士,ガイダンスゼイリシ
税理士受験,ゼイリシジュケン
受験対策,ジュケンタイサク
対策講座,タイサクコウザ
講座ガイダンス,コウザガイダンス
ガイダンス簿記,ガイダンスボキ
簿記３,ボキサン
１級,イチキュウ
講座ガイダンス,コウザガイダンス
番参照,バンサンショウ
結局火,ケッキョクヒ
人が大,ジンガダイ
大多数,ダイタスウ
修身教授,シュウシンキョウジュ
教授録,キョウジュロク
一冊,イチサツ
１日,イチニチ
１日,イチニチ
つまり人,ツマリジン
人が大,ジンガダイ
大多数,ダイタスウ
めんツナ,メンツナ
ゼミ生,ゼミセイ
１日,イチニチ
後輩たち,コウハイタチ
学生たち,ガクセイタチ
福大OC,フクダイオーシー
スポーツデータ,スポーツデータ
データ解析,データカイセキ
解析コンペティション,カイセキコンペティション
発会式,ハッカイシキ
大韓航空機,ダイカンコウクウキ
何人,ナンニン
アンケートみたい,アンケートミタイ
ダミー変数,ダミーヘンスウ
変数群,ヘンスウグン
入力ファイル,ニュウリョクファイル
分析対象,ブンセキタイショウ
力技,チカラワザ
やり方他,ヤリカタタ
太宰ゼミ,ダザイゼミ
ゼミ生,ゼミセイ
一年生,イチネンセイ
本日POP,ホンジツポップ
POP選挙,ポップセンキョ
選挙当日,センキョトウジツ
来場予定,ライジョウヨテイ
投票開始,トウヒョウカイシ
開始時刻,カイシジコク
２限,ニゲン
終了時刻,シュウリョウジコク
３限,サンゲン
POP選挙,ポップセンキョ
ゼミ生,ゼミセイ
生たち,セイタチ
プチ事件,プチジケン
ゼミ生,ゼミセイ
アビー砲,アビーホウ
砲じゃなくて,ホウジャナクテ
若田部遥さん,ワカタベハルカサン
さん登場,サントウジョウ
Ｊリーグ当行,ジェイリーグトウコウ
