梶田先生,カジタセンセイ
展示会,テンジカイ
ブース来訪,ブースライホウ
来訪者,ライホウシャ
ランク分け,ランクワケ
今夜中,コンヤチュウ
メール出,メールデ
一人,イチニン
おれ文章,オレブンショウ
感情的ジェットコースター,カンジョウテキジェットコースター
精神的,セイシンテキ
的ハード,テキハード
ハードワーク,ハードワーク
あと何,アトナン
何年,ナンネン
IoT市場,アイオーティーシジョウ
テックベンチャー,テックベンチャー
それぞれ２,ソレゾレニ
２，,ニ，
，３,，サン
３件,サンケン
累積黒字,ルイセキクロジ
時価３,ジカサン
３０,サンゼロ
００,ゼロゼロ
０億,ゼロオク
３０,サンゼロ
０億,ゼロオク
営業キャッシュフロー,エイギョウキャッシュフロー
調達不要,チョウタツフヨウ
シバタさん,シバタサン
市場素地,シジョウソジ
データクレンジング,データクレンジング
パターン化,パターンカ
具体的,グタイテキ
製品訴求,セイヒンソキュウ
訴求ポイント,ソキュウポイント
smtpサーバ,エスエムティピーサーバ
１時間,イチジカン
さくらのメールボックス,サクラノメールボックス
笑うつ病,エミウツビョウ
最先端技術,サイセンタンギジュツ
方法考え,ホウホウカンガエ
よっくんさん,ヨックンサン
さん多忙,サンタボウ
多忙そう,タボウソウ
会社経営,カイシャケイエイ
４回,ヨンカイ
回位,カイイ
１週間,イチシュウカン
週間無断欠勤,シュウカンムダンケッキン
サラリーマン時代,サラリーマンジダイ
４回,ヨンカイ
独立後,ドクリツゴ
定期コンサル,テイキコンサル
コンサル契約,コンサルケイヤク
契約相手,ケイヤクアイテ
１回,イチカイ
桜キレイ,サクラキレイ
学生時代お花見,ガクセイジダイオハナミ
将棋部,ショウギブ
ベースライン,ベースライン
ライン長,ラインチョウ
結局単眼,ケッキョクタンガン
隣接フレーム,リンセツフレーム
キーフレーム,キーフレーム
不定性,フテイセイ
画像ペア,ガゾウペア
前後不定,ゼンゴフテイ
両方前,リョウホウマエ
バンドル調整,バンドルチョウセイ
湯川塾,ユカワジュク
遠藤さん,エンドウサン
データ分析,データブンセキ
自動化,ジドウカ
研究費,ケンキュウヒ
億円,オクエン
円分,エンブン
クラウド利用,クラウドリヨウ
利用権,リヨウケン
自律ドローン,ジリツドローン
ソフトウェア市場,ソフトウェアシジョウ
大企業時代,ダイキギョウジダイ
RT3月26日,アールティーサンガツニジュウロクニチ
パブリックデー,パブリックデー
単独展示,タンドクテンジ
展示会,テンジカイ
片付け完了,カタヅケカンリョウ
アルバイト生,アルバイトセイ
ひと通り,ヒトドオリ
あと静か,アトシズカ
写真好き,シャシンスキ
一番好き,イチバンスキ
デベロッパーネットワーク,デベロッパーネットワーク
複数台,フクスウダイ
台ドローン,ダイドローン
同時制御,ドウジセイギョ
技術力,ギジュツリョク
高校二,コウコウニ
二年生,ニネンセイ
松原先生,マツバラセンセイ
人工知能志望,ジンコウチノウシボウ
囲碁棋士,イゴキシ
内心応援,ナイシンオウエン
人工知能学会長,ジンコウチノウガッカイチョウ
松原仁教授,マツバラジンキョウジュ
旦那さん,ダンナサン
しゃべる方,シャベルカタ
ネイティブスピード,ネイティブスピード
展示会,テンジカイ
想像どおり,ソウゾウドオリ
使いやすさ,ツカイヤスサ
ドローン業界,ドローンギョウカイ
業界全体,ギョウカイゼンタイ
教科書的,キョウカショテキ
勝ちパターン,カチパターン
業界全体,ギョウカイゼンタイ
ジャパンドローン,ジャパンドローン
ドローンセミナー,ドローンセミナー
SlideShare,スライドシェア
Shareさん,シェアサン
RTGoogle,アールティーグーグル
音声認識API,オンセイニンシキエーピーアイ
TechCrunchJapan,テッククランチジャパン
jptechcrunch,ジェイピーテッククランチ
techcrunchさん,テッククランチサン
なにこれ,ナニコレ
これRT,コレアールティー
TensorFlowベース,テンソーフローベース
チェーン展開,チェーンテンカイ
品質維持,ヒンシツイジ
アドファイブ,アドファイブ
ファイブ日記,ファイブニッキ
偶然手,グウゼンテ
RT学部,アールティーガクブ
数十,スウジュウ
十年,ジュウネン
一度,イチド
大学改革,ダイガクカイカク
RTLINE,アールティーライン
ビジネスプラットフォーム,ビジネスプラットフォーム
オープン化,オープンカ
化戦略,カセンリャク
んじゃなくて,ンジャナクテ
じゃなくて空気,ジャナクテクウキ
独自開発,ドクジカイハツ
服飾デザイナ,フクショクデザイナ
Kさんならでは,ケイサンナラデハ
天才Kさん,テンサイケイサン
製品リリース,セイヒンリリース
天才RT,テンサイアールティー
ドローンプロジェクト,ドローンプロジェクト
プロジェクト始動,プロジェクトシドウ
試作品,シサクヒン
号機飛行,ゴウキヒコウ
飛行実験,ヒコウジッケン
実験実施,ジッケンジッシ
実施本郷,ジッシホンゴウ
本郷飛行機,ホンゴウヒコウキ
飛行機共同開発,ヒコウキキョウドウカイハツ
JPさん,ジェーピーサン
メモリスター,メモリスター
スター素子,スターソシ
計算機アーキテクチャ,ケイサンキアーキテクチャ
展示出展,テンジシュッテン
出展説明,シュッテンセツメイ
大手企業,オオテキギョウ
新規事業,シンキジギョウ
事業開発,ジギョウカイハツ
開発担当者,カイハツタントウシャ
大手企業,オオテキギョウ
パトロン資金,パトロンシキン
地域中堅企業,チイキチュウケンキギョウ
事業開発,ジギョウカイハツ
携帯無線,ケイタイムセン
携帯MVNO,ケイタイエムブイエヌオー
航空無線,コウクウムセン
無線法,ムセンホウ
秋なのだ,アキナノダ
なのだそう,ナノダソウ
ハード中立,ハードチュウリツ
ワンオペレータ,ワンオペレータ
複数台,フクスウダイ
台ドローン,ダイドローン
大手半導体,オオテハンドウタイ
半導体ベンダ,ハンドウタイベンダ
とこありません,トコアリマセン
インテグレーションノウハウ,インテグレーションノウハウ
出展者,シュッテンシャ
者懇親,シャコンシン
懇親会,コンシンカイ
セミナー講演,セミナーコウエン
講演者,コウエンシャ
量産機,リョウサンキ
時間不眠,ジカンフミン
研究申請,ケンキュウシンセイ
申請書,シンセイショ
明日リハーサル,アシタリハーサル
リハーサル予定,リハーサルヨテイ
セミナー資料,セミナーシリョウ
２回,ニカイ
実機テスト,ジッキテスト
４月中旬,シガツチュウジュン
予定通り,ヨテイドオリ
研究公募,ケンキュウコウボ
申請書,シンセイショ
書執筆,ショシッピツ
リスク大,リスクダイ
オープンプラットフォーム,オープンプラットフォーム
３時間,サンジカン
水泳選手,スイエイセンシュ
選手P,センシュピー
P氏,ピーシ
P氏,ピーシ
あとドーピング,アトドーピング
ドーピング疑惑,ドーピングギワク
結果ドーピング,ケッカドーピング
研究不正,ケンキュウフセイ
科学者たち,カガクシャタチ
たまもの,タマモノ
これグノシー,コレグノシー
米国研究,ベイコクケンキュウ
研究者,ケンキュウシャ
小保方晴子,オボカタハルコ
晴子氏,ハルコシ
研究テーマ,ケンキュウテーマ
テーマ骨格,テーマコッカク
一つ書き,ヒトツガキ
ドローン複数,ドローンフクスウ
複数台,フクスウダイ
複数台,フクスウダイ
台バンドル,ダイバンドル
バンドル調整,バンドルチョウセイ
ISBI証券,アイエスビーアイショウケン
国プロ,クニプロ
外部委託,ガイブイタク
委託研究員,イタクケンキュウイン
ライセンスビジネス,ライセンスビジネス
ソフトウェアベンダ,ソフトウェアベンダ
新規事業,シンキジギョウ
エンジェル投資家,エンジェルトウシカ
データサイエンスカンパニー,データサイエンスカンパニー
